LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. γ rate
,,,,,,,,,(sec),(sec),(sec),(micron),(micron),(micron),(micron),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(quality),(micron),(micron),,(micron/sec),,(rad/sec)
Track_0,0,0,721,0,0,0,0,0,86400.0,0.0,86400.0,27.54003358597435,363.46285688089614,51.86849891401095,0.0,0.004533742849730687,0.017120557655785334,1.7146990060913693E-4,0.004119042646649374,0.0027166562676581457,0.915925286431253,391.71538221673165,30.35001259021459,0.07030623466998996,3.18750388726555E-4,0.07030623466999002,0.016458461685315628
Track_1,1,1,721,0,0,0,0,0,86400.0,0.0,86400.0,32.771689033280836,511.44078194445,447.17480929287495,0.0,0.005074031076082253,0.05425523224819907,1.0409182691386367E-4,0.0041417419746972274,0.004153227812911397,0.9077185449421654,438.3962849735062,39.41097522515312,0.07475357377916955,3.793019564037134E-4,0.07475357377916948,0.01550388038869966
Track_4,4,4,721,0,0,0,0,0,86400.0,0.0,86400.0,10.938782914555441,571.559319199693,130.42745877521392,0.0,0.0044981588481202905,0.015439294694996447,9.985072704956095E-5,0.0039425985756854935,0.002703939422058842,0.920356085826223,388.640924477593,11.48111664372,0.028146245610287276,1.2660628373328058E-4,0.028146245610287272,0.015855623817550187
Track_6,6,6,721,0,0,0,0,0,86400.0,0.0,86400.0,15.409257396808881,333.72780345657804,446.17269067245877,0.0,0.004327551849532464,0.01779005411671975,3.5683056136046255E-5,0.0037472665540842077,0.002699131704272928,0.9207486667348674,373.90047979960474,16.537237580847073,0.04121218941753594,1.7834788653713982E-4,0.04121218941753592,0.016483256899426826
Track_7,7,7,721,0,0,0,0,0,86400.0,0.0,86400.0,27.554690973153143,432.31651365208245,504.19311554751664,0.0,0.004664823761720518,0.01601391932416497,6.068061111708069E-5,0.004155292306235144,0.0027249140139043453,0.8994827859114013,403.0407730126515,36.67394896977334,0.06836700606538434,3.189200344114947E-4,0.06836700606538414,0.015936213228936957
Track_8,8,8,721,0,0,0,0,0,86400.0,0.0,86400.0,28.4829958988931,287.6835007172745,453.3833381884202,0.0,0.004967680004704873,0.09182087733888827,4.8265192670725165E-5,0.00401126145755733,0.004704428064106041,0.9067278338206128,429.2075524065005,31.440653503431093,0.06636182364264874,3.2966430438533683E-4,0.06636182364264866,0.015704649774054807
Track_11,11,11,721,0,0,0,0,0,86400.0,0.0,86400.0,24.30802434941922,501.5874384329449,319.34355685195396,0.0,0.004495188868539754,0.024176489419527936,6.648009058451397E-6,0.003761786871726549,0.002909679682806816,0.9266693962430491,388.38431824183397,24.714290172054557,0.06258755363619863,2.813428744145743E-4,0.0625875536361985,0.016691290783605307
