LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. γ rate
,,,,,,,,,(sec),(sec),(sec),(micron),(micron),(micron),(micron),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(quality),(micron),(micron),,(micron/sec),,(rad/sec)
Track_49,49,49,721,0,0,0,0,0,86400.0,0.0,86400.0,21.911479445483813,652.2365673844707,453.1903724926097,0.0,0.007754215183854387,0.06588050433988951,1.989309253358547E-4,0.005118349360602609,0.008996721864812719,0.8805259928293268,669.9641918850183,42.50322320093181,0.03270544860589257,2.5360508617458115E-4,0.03270544860589253,0.013416177144652798
Track_52,52,52,721,0,0,0,0,0,86400.0,0.0,86400.0,18.744111437102287,122.6447290707348,112.18192368189297,0.0,0.004300813117558044,0.04154901839136995,5.159712749860088E-5,0.0037936897144360115,0.003101647748696887,0.9092034667771666,371.59025335701523,20.336364735791896,0.05044295771421481,2.169457342257209E-4,0.050442957714214844,0.014430047055135441
Track_53,53,53,721,0,0,0,0,0,86400.0,0.0,86400.0,49.37943577287128,223.30060425404707,399.7626833736475,0.0,0.004503898457017306,0.04112896498461667,1.8087569077122282E-4,0.0038939637928362154,0.003700305012019777,0.8907010510625852,389.136826686295,56.44675886544706,0.12689478966399345,5.715212473711954E-4,0.1268947896639934,0.013500450805307757
Track_55,55,55,721,0,0,0,0,0,86400.0,0.0,86400.0,8.782783921974488,330.2827161274481,73.19423819415825,0.0,0.005499413110273479,0.04557178477721873,3.104857767774377E-4,0.004217128932143934,0.0052012256172825075,0.8981455371052481,475.1492927276283,85.09413003010924,0.01848426180234068,1.0165259168951953E-4,0.018484261802340664,0.012522778572868164
Track_56,56,56,721,0,0,0,0,0,86400.0,0.0,86400.0,66.70531822879664,183.79764842679396,593.2670333616361,0.0,0.005229145219782074,0.04680992505901179,1.6641268755159764E-4,0.004270809378430353,0.004464621586690899,0.9023792577517347,451.7981469891707,74.94164510255118,0.14764407218871467,7.72052294314776E-4,0.14764407218871453,0.012991414782921554
Track_58,58,58,721,0,0,0,0,0,86400.0,0.0,86400.0,10.538857136681296,204.34149377243725,133.86266846843242,0.0,0.004524303485001118,0.03268947811655059,6.291801100804186E-5,0.0038161318340014455,0.003240583672656668,0.9022401526632322,390.8998211040965,19.402476323732337,0.026960506420581867,1.2197751315603351E-4,0.026960506420581856,0.013137677462877818
Track_59,59,59,721,0,0,0,0,0,86400.0,0.0,86400.0,74.60325363636186,567.9198447721875,274.7270266933573,0.0,0.00530383943694839,0.060987984969861395,1.1199548482832456E-4,0.0043705764975048534,0.0043843877432697236,0.9161246892648662,458.251727352341,99.45878446294239,0.16279972160148748,8.634635837541882E-4,0.1627997216014875,0.012288484338559683
Track_60,60,60,721,0,0,0,0,0,86400.0,0.0,86400.0,26.220256364939956,401.09115512220075,615.4780843909098,0.0,0.004189547172335098,0.019922507067067902,1.2232748651588296E-4,0.0037734456946555855,0.0025802413189341712,0.8867816868006935,361.97687568975203,30.54289849492197,0.07243627459620698,3.034751894090273E-4,0.0724362745962069,0.014227124973485316
Track_64,64,64,721,0,0,0,0,0,86400.0,0.0,86400.0,22.29515691633229,425.48745948429854,608.5039154748599,0.0,0.004340859834167862,0.04001486961948851,1.3513302070737514E-4,0.00378594508557757,0.0031156601283929726,0.9050351196949095,375.0502896721027,43.50965879188884,0.05944577975349492,2.5804579764273483E-4,0.05944577975349483,0.014066080075694397
Track_67,67,67,721,0,0,0,0,0,86400.0,0.0,86400.0,24.25224558428523,524.5532580620284,377.73190616224406,0.0,0.004717921324361643,0.04376418742084597,2.0631558847761366E-4,0.0039883245551041065,0.0037934748479369466,0.9141026965126746,407.62840242484566,53.79984428419063,0.059495966031848355,2.8069728685515313E-4,0.05949596603184831,0.012809468897703654
Track_70,70,70,721,0,0,0,0,0,86400.0,0.0,86400.0,20.492009126907256,605.1452472515639,433.8120406434204,0.0,0.005090052187312181,0.15520357949628336,9.928231542924086E-5,0.0040775656068363355,0.0067863088539895,0.9062431028911045,439.7805089837727,54.02494868452186,0.046595992110381096,2.3717603156142656E-4,0.046595992110381124,0.012757328190930325
Track_72,72,72,721,0,0,0,0,0,86400.0,0.0,86400.0,31.149418247497447,200.72024318629093,523.4362400651264,0.0,0.00507032280776823,0.039671846203234974,3.2306497744018643E-4,0.004235434047384985,0.0038295226806899893,0.8917196169805592,438.0758905911749,70.70373543422146,0.07110507315401884,3.605256741608501E-4,0.07110507315401882,0.012782384106335937
Track_73,73,73,721,0,0,0,0,0,86400.0,0.0,86400.0,153.58403311853849,441.7957165200948,336.02256554389265,0.0,0.005015056624914589,0.03878254068353577,2.0712966203095029E-4,0.004199386072458438,0.0037713436412171067,0.9088463776650607,433.30089239262094,153.58403311853849,0.3544512273456698,0.0017775929759090102,0.35445122734567014,0.012529852989778312
Track_75,75,75,721,0,0,0,0,0,86400.0,0.0,86400.0,128.15585474167648,523.5671341110381,262.54746758006604,0.0,0.004759432048334392,0.03294883444856743,2.2536001822267562E-4,0.00411505362842036,0.0035372635155735935,0.9040704676248494,411.21492897609136,128.6432306542438,0.3116517560799152,0.0014832853558064407,0.31165175607991513,0.01260039079996448
Track_76,76,76,721,0,0,0,0,0,86400.0,0.0,86400.0,18.41942580299607,626.6282037263824,599.8871410518465,0.0,0.004508413248283961,0.04744434612285915,5.902772205297376E-5,0.0038564958323275052,0.0033867664566162555,0.9173275241408698,389.52690465173333,27.12153521478978,0.047286658721210635,2.1318779864578784E-4,0.047286658721210524,0.01333815491331396
Track_77,77,77,721,0,0,0,0,0,86400.0,0.0,86400.0,32.3953545188238,249.91505743059716,400.71448121267537,0.0,0.004359178872885138,0.04567977732168835,1.0739292090405046E-4,0.0036127010371651046,0.0034587408835768307,0.9083997842838959,376.6330546172763,33.087673557893424,0.08601304139845886,3.7494623285675696E-4,0.08601304139845893,0.014313104080452223
Track_78,78,78,721,0,0,0,0,0,86400.0,0.0,86400.0,12.524007084641896,272.4887943594905,102.6361314040454,0.0,0.0040010764779156134,0.043942316548885876,9.270868903998855E-5,0.0036286873381147014,0.0030057429686445583,0.9149627911234365,345.69300769190954,16.001284510410724,0.0362286965775241,1.449537857018738E-4,0.03622869657752416,0.014029392086390528
Track_79,79,79,721,0,0,0,0,0,86400.0,0.0,86400.0,59.83724342342672,470.74012419195,168.18049921960468,0.0,0.00503073842146259,0.08875322996498027,2.2814953363400593E-4,0.004178871289798555,0.004743004963164239,0.9081785082817078,434.6557996143672,59.83724342342672,0.13766581160659808,6.925606877711426E-4,0.13766581160659788,0.012343437398789871
Track_84,84,84,721,0,0,0,0,0,86400.0,0.0,86400.0,23.49983926924314,11.334777369686885,231.05548951096387,0.0,0.005621952829164502,0.08057678163741738,1.1507555722717614E-4,0.004358856961335239,0.005666081782128225,0.8622856502228735,485.7367244398133,23.49983926924314,0.04837978700569707,2.7198888043105486E-4,0.0483797870056971,0.013885259433013377
Track_85,85,85,721,0,0,0,0,0,86400.0,0.0,86400.0,44.84923001226096,156.36866290249603,357.0882310807064,0.0,0.0040389085973314715,0.015106152176383059,1.1444012314318072E-4,0.0035052253985738244,0.0025007495150414834,0.9029083872800396,348.9617028094396,46.22632369272484,0.1285219256187323,5.190883103270944E-4,0.12852192561873246,0.014728788752862203
Track_86,86,86,721,0,0,0,0,0,86400.0,0.0,86400.0,124.5815851999246,166.06396711134192,313.02284950706655,0.0,0.005160165745527072,0.05280796155304319,1.0828529642087858E-4,0.004290645964296861,0.004355084476775227,0.886440477738268,445.8383204135398,136.18065423279745,0.27943220556808185,0.0014419164953694977,0.27943220556808235,0.013242939778717119
Track_87,87,87,721,0,0,0,0,0,86400.0,0.0,86400.0,194.98246734620147,385.5642147169641,573.7016966276643,0.0,0.005155551302632658,0.055367120361595454,1.5112091558570635E-4,0.004234802443166545,0.004339227384876485,0.8958277625448992,445.43963254746166,194.98246734620147,0.43773039734048824,0.0022567415202106654,0.4377303973404883,0.011290898895713527
Track_88,88,88,721,0,0,0,0,0,86400.0,0.0,86400.0,19.08996419683673,447.9032446020801,582.7011221821266,0.0,0.004918419640882309,0.03413675230647493,6.20297436244044E-5,0.004110297248952272,0.0038068822746399507,0.9104660784983272,424.9514569722319,53.74419135968176,0.044922693836261275,2.2094865968561028E-4,0.04492269383626131,0.013876688379400128
Track_89,89,89,721,0,0,0,0,0,86400.0,0.0,86400.0,41.56314981941119,438.2260240102967,263.9256206700902,0.0,0.005161086265337471,0.034464076724379046,1.868757290934171E-4,0.004422474832234594,0.004025821745606399,0.9004383013582428,445.91785332515764,69.69964782074932,0.09320808644345502,4.8105497476170356E-4,0.09320808644345505,0.011996175382550716
Track_92,92,92,721,0,0,0,0,0,86400.0,0.0,86400.0,74.28421116473079,583.8371907345595,103.60962130964454,0.0,0.00523975838938748,0.03858990292303463,3.124712411432196E-5,0.00417068848801093,0.00437760675900947,0.9098679696141269,452.71512484307823,76.08542543224803,0.16408599379240854,8.597709625547545E-4,0.1640859937924085,0.012350205254203866
Track_99,99,99,721,0,0,0,0,0,86400.0,0.0,86400.0,27.23096618981943,427.01023997593364,316.92328884615654,0.0,0.004939679517158941,0.034985043093575814,6.355151553196446E-5,0.004003888879092424,0.004181017076355985,0.8995626190168352,426.78831028253273,51.79772703137727,0.06380438623492898,3.1517321978957676E-4,0.06380438623492901,0.013803376619288705
